text kotor,likeCount,Teks_Bersih,Yes,No,Compound,Sentiment
"@DsSupriyady @geloraco Iyyaah...Tangkapin KORUPTOR nya Kadrun....Beraniii bener niyy si Jokowi

Mentri Nasdem Maling 8Trilyuuunn Rupiahh????????????....di cyduk sama Jokowi Jahat tuhh????????????",0,iyyaah tangkapin koruptor nya kadrun beraniii bener niyy si jokowi mentri nasdem maling trilyuuunn rupiahh di cyduk sama jokowi jahat tuhh,0.0,0.0,0.0,Yes
@pipihfiles @dennyindrayana Kenapa gak harus anies?? Karena bacod nya sulit dicerna sebagian besar org normal.. yg bisa cerna bacod nya cuma org abnormal... Atau org yg pura2 bisa mencerna.... Awokawokawok https://t.co/J8y9x5MBZA,0,kenapa gak harus anies karena bacod nya sulit dicerna sebagian besar org normal yg bisa cerna bacod nya cuma org abnormal atau org yg pura bisa mencerna awokawokawok,0.0,0.0,0.0,Yes
@akualcade Ngupil pake jari telunjuk kiri sampai dapet,0,ngupil pake jari telunjuk kiri sampai dapet,0.0,0.0,0.0,Yes
@pipihfiles @dennyindrayana Kenapa gak harus anies??  ?? https://t.co/eecaqDfVyr,0,kenapa gak harus anies,0.0,0.0,0.0,Yes
@pipihfiles @dennyindrayana Kenapa gak harus anies?? https://t.co/4mKUKTPqJF,0,kenapa gak harus anies,0.0,0.0,0.0,Yes
@Amran_bin_Ali @TurnBack2Solo @jagokan57083101 @KompasTV wkwkwk kadrun terpojok,1,bin ali wkwkwk kadrun terpojok,0.0,0.0,0.0,Yes
@democrazymedia Tp kok pendukungnya benci kadrun???,0,tp kok pendukungnya benci kadrun,0.0,0.0,0.0,Yes
"@EtySusanty8 @Ayang_Utriza @dennyindrayana Berarti sama juga donk dengan pak ganjar yg dituduh sama kadrun terlibat uang e-KTP, gak ada hasil persidangan bersalah dan terlibat.. Kenapa kadrun selalu menuduh.??",0,utriza berarti sama juga donk dengan pak ganjar yg dituduh sama kadrun terlibat uang e ktp gak ada hasil persidangan bersalah dan terlibat kenapa kadrun selalu menuduh,0.0,0.0,0.0,Yes
"@DJ_Luvly @yunartowijaya Tidak terbukti dipersidangan , anjeeeeng.... Awokawokawok",0,luvly tidak terbukti dipersidangan anjeeeeng awokawokawok,0.0,0.0,0.0,Yes
"@Amran_bin_Ali @TurnBack2Solo @jagokan57083101 @KompasTV mana berani kadrun bang, kan kadrun2 pengecut ??",1,bin ali mana berani kadrun bang kan kadrun pengecut,0.0,0.0,0.0,Yes
@Amran_bin_Ali @TurnBack2Solo @jagokan57083101 @KompasTV dia ngertinya bahasa kadrun ??,0,bin ali dia ngertinya bahasa kadrun,0.0,0.0,0.0,Yes
@Aguscah88555821 @BudiMario007 @IrwanAj63719113 @TukangRitwiit @virza1 @benk_setia @Djoe31915814 @BrabarZeto @Kadrun80574809 @BudhiIbrahim @PutraBachtiar9 @_mastito @dinarArunika @MansurU71169345 @Didinzahrudin1 @bayarpajaklah @Lignasian Mari kita kawal n,1,setia mastito mari kita kawal negara tercinta ri dari kadrun pendukung khilafah,0.0,0.0,0.0,Yes
@msaid_didu @ReflyHZ Yg nonton podnya ken kadrun semua ya wajar drun,0,didu yg nonton podnya ken kadrun semua ya wajar drun,0.0,0.0,0.0,Yes
"5 Alasan Anies Yohanes Rasyid BaswEDAN tidak mungkin jadi presiden...
1...Kadrun imigran Yaman.
2...tidak punya rasa nasionalisme.
3...cuma pintar ngomong Pemberi Harapan Palsu.
4...didukung oleh kaum radikal pengusung khilafah intoleran.
5...NON PRIBUMI.",0,alasan anies yohanes rasyid baswedan tidak mungkin jadi presiden kadrun imigran yaman tidak punya rasa nasionalisme cuma pintar ngomong pemberi harapan palsu didukung oleh kaum radikal pengusung khilafah intoleran non pribumi,0.0,0.0,0.0,Yes
"Proyek BTS 4G BAKTI memang di desain untuk dikorupsi, 6 sudah jadi tersangka, 11 lainnya gelisah mulai kebakaran jenggot.
Kejagung selalu didepan.. ?? https://t.co/K9rPP2TY4q",0,proyek bts g bakti memang di desain untuk dikorupsi sudah jadi tersangka lainnya gelisah mulai kebakaran jenggot kejagung selalu didepan,0.0,0.0,0.0,Yes
@marlina_idha https://t.co/8z0HDu2K64,0,idha,0.0,0.0,0.0,Yes
@m_yanto_baemo ??,1,yanto baemo,0.0,0.0,0.0,Yes
MUI prihatin atas krisis kemanusiaan di Yaman...ayo para kadrun Yaman adakan donasi untuk negeri leluhurmu jgn diam saja...!!!,0,mui prihatin atas krisis kemanusiaan di yaman ayo para kadrun yaman adakan donasi untuk negeri leluhurmu jgn diam saja,0.0,0.0,0.0,Yes
@emyr_za @CNNIndonesia Kadrun tdk makan babi,0,za kadrun tdk makan babi,0.0,0.0,0.0,Yes
@__TukangNgibul Emg udah ketauan..akun2 Kadrun itu rata2 buzzer bayaran Anis.. OTAK tdk diperlukan,1,tukangngibul emg udah ketauan akun kadrun itu rata buzzer bayaran anis otak tdk diperlukan,0.0,0.0,0.0,Yes
@greentea290491 @geloraco Kita buktikan saja negara mau maju harus berkorban dan berpikir kedepan ...polapikir kadrun sampah,0,kita buktikan saja negara mau maju harus berkorban dan berpikir kedepan polapikir kadrun sampah,0.0,0.0,0.0,Yes
"@P3n99u94t Itu mungkin Jatim bagian Kadrun...
Wkwkw",0,itu mungkin jatim bagian kadrun wkwkw,0.0,0.0,0.0,Yes
@__TukangNgibul Halloooo.. Profil lo ga ada tweet lo pribadi.. Lo pasti anakAnjing Piaraan KADRUN.. HAYOO..NGAKU..MALINGLO,3,tukangngibul halloooo profil lo ga ada tweet lo pribadi lo pasti anakanjing piaraan kadrun hayoo ngaku malinglo,0.0,0.0,0.0,Yes
"@NephiLaxmus @Metro_TV Dunia kebolak-balik, kadrun jadi seneng nonton Metro Tipu, cebong beralih nonton tvOon... ??",0,tv dunia kebolak balik kadrun jadi seneng nonton metro tipu cebong beralih nonton tvoon,0.0,0.0,0.0,Yes
@StefanAntonio__ Panik ga ya ?? https://t.co/H3nUdRwTpj,0,panik ga ya,0.0,0.0,0.0,Yes
"@_Dauph1ne_ @ajies4ra @Bandit_cengeng Harusnya akun alter pake buat lawan kadrun bukanya seperti ini,",1,dauphne cengeng harusnya akun alter pake buat lawan kadrun bukanya seperti ini,0.0,0.0,0.0,Yes
@TurnBack2Solo @Amran_bin_Ali @jagokan57083101 @KompasTV klo yg ini Cina kadrun ya? yg penting bisa ta'bil wkwkwk https://t.co/mrCRHgiZdC,1,bin ali klo yg ini cina kadrun ya yg penting bisa ta bil wkwkwk,0.0,0.0,0.0,Yes
"@StefanAntonio__ Yes,sama https://t.co/0GO2bQb9n3",0,yes sama,0.0,0.0,0.4019,Yes
"@HidayatNatari Jadi kadrun itu berat,, harus nyebar hoax tiap hari",0,jadi kadrun itu berat harus nyebar hoax tiap hari,0.208,0.0,-0.2732,Yes
@StefanAntonio__ Yes https://t.co/1aZebSoZBy,0,yes,0.0,1.0,0.4019,Yes
@bianca01403 Kadrun tolol mau tipu2 ???????? https://t.co/h1vGTWM6zV,0,kadrun tolol mau tipu,0.0,0.0,0.0,Yes
"@Amran_bin_Ali @TurnBack2Solo @jagokan57083101 @KompasTV kadrun culun, pasti jidatnya ada jendolan hitam dan jembutnya pindah ke dagu kayak foto ini wkwkwk https://t.co/oMvTLXWApn",1,bin ali kadrun culun pasti jidatnya ada jendolan hitam dan jembutnya pindah ke dagu kayak foto ini wkwkwk,0.0,0.0,0.0,Yes
@UbedilahB Ubedilah Kadrun????????,0,ubedilah kadrun,0.0,0.0,0.0,Yes
@lurkingcorsa @Permaidi68 @BTRxZaflaabaeVL @__TukangNgibul @Asuhan1nfinitE @cobeh2022 @NobowoNonowo KADRUN 90% Suka Melonte.. Aplgi lo @lurkingcorsa,0,tukangngibul kadrun suka melonte aplgi lo,0.0,0.0,0.0,Yes
"@dimaspram96 @Herohero_82 @belaIndonesiaID @Obay_Kusut1981 Dikitý kadrun
Dikitý kadrun
Ngerasa junjungan lu di sentil
Langsung reply pake embelý kadrun.
Orang yg ga sepaham ama lu, lu cap kadrun.
Manusia sampah kayaklo gini yg ngerusak nilai demokrasi.",0,kusut dikit kadrun dikit kadrun ngerasa junjungan lu di sentil langsung reply pake embel kadrun orang yg ga sepaham ama lu lu cap kadrun manusia sampah kayaklo gini yg ngerusak nilai demokrasi,0.0,0.0,0.0,Yes
"Kasian para #Kadrun habib dari Yaman dan timur tengah yg numpang cari makan di RI,  punya tuhan Alloh tapi lemah, selalu dibela... 
Walah.... drun.... Kadrun.... Kalau mau cari serakah duniawi, jgn bawa2 Tuhan....  Kasian si Awoh https://t.co/ZRe6TFd67t",1,kasian para kadrun habib dari yaman dan timur tengah yg numpang cari makan di ri punya tuhan alloh tapi lemah selalu dibela walah drun kadrun kalau mau cari serakah duniawi jgn bawa tuhan kasian si awoh,0.0,0.0,0.0,Yes
@kadrun_bangsatt Gayane pig pig ??,1,bangsatt gayane pig pig,0.0,0.0,0.0,Yes
@Tulus_nih70 Keluarin fatwa nya dulu dong anwar abbas kadrun arab pesek. Gak ada cukong nya yak ? Naga2nya duit galangan dana ente tilep pastinya.,0,nih keluarin fatwa nya dulu dong anwar abbas kadrun arab pesek gak ada cukong nya yak naganya duit galangan dana ente tilep pastinya,0.0,0.0,0.0,Yes
@P3n99u94t Tuyul ancol kotbah ????????,0,tuyul ancol kotbah,0.0,0.0,0.0,Yes
@bianca01403 Kalian pikir nu Ormas yg bisa kalian bodohi kayak anjing2 ini????? https://t.co/csaUv6nybY,0,kalian pikir nu ormas yg bisa kalian bodohi kayak anjing ini,0.0,0.0,0.0,Yes
@Amran_bin_Ali @TurnBack2Solo @jagokan57083101 @KompasTV Dia kadrun cemen yg menggemaskan https://t.co/iMEHMqUYih,1,bin ali dia kadrun cemen yg menggemaskan,0.0,0.0,0.0,Yes
@kangdede78 @NasDem @adityawilly sangat menjijikkan ya ocehannya alias bacotnya pecundang weleh. 2024 nasdrun harus tumbang di jurang kegelapan. KADRUN #KoalisiDelapanTriliun,0,sangat menjijikkan ya ocehannya alias bacotnya pecundang weleh nasdrun harus tumbang di jurang kegelapan kadrun koalisidelapantriliun,0.0,0.0,0.0,Yes
"@Syarman59 @KPK_RI @firlibahuri @mohmahfudmd KADRUN Korupsi msk Politik.. Kriminal jga dmsukin ke Pokitik.. 
KADRUN emg Bin Atang..",0,ri kadrun korupsi msk politik kriminal jga dmsukin ke pokitik kadrun emg bin atang,0.0,0.0,0.0,Yes
@el4n9bint4n9 Gub aja idiot https://t.co/DqswepTQVO,0,gub aja idiot,0.623,0.0,-0.5106,Yes
"@TurnBack2Solo @Amran_bin_Ali @jagokan57083101 @KompasTV iya mending sesama kadrun, selain bisa membantu memberi makan, juga bisa membantu @jagokan57083101 geli2 enak ??",1,bin ali iya mending sesama kadrun selain bisa membantu memberi makan juga bisa membantu geli enak,0.0,0.0,0.0,Yes
"Dana turun 11 triliun digarong 8 triliun dan barang tidak ada wujudnya, ni plate emang anjing bangsat yg wajib digantung kepalanya diatas tower nasdem. 
katadata.co.id/ira/berita/646?",0,dana turun triliun digarong triliun dan barang tidak ada wujudnya ni plate emang anjing bangsat yg wajib digantung kepalanya diatas tower nasdem katadata co id ira berita,0.0,0.0,0.0,Yes
@Tulus_nih70 Nilah kadrun pesek yg jd penjilat kaum yaman.,0,nih nilah kadrun pesek yg jd penjilat kaum yaman,0.0,0.0,0.0,Yes
@TurnBack2Solo @Amran_bin_Ali @jagokan57083101 @KompasTV wkwkwkw kadrun jantan lagi minum obat kuat atau sari rapet drun? eh sari rapet mah buat @jagokan57083101,1,bin ali wkwkwkw kadrun jantan lagi minum obat kuat atau sari rapet drun eh sari rapet mah buat,0.0,0.0,0.0,Yes
@WagimanDeep212_ @dwioktariyadi Klou ada anti ormas !..??????,0,klou ada anti ormas,0.434,0.0,-0.3182,Yes
@_Dauph1ne_ @LemhannasRI @DivHumas_Polri @CCICPolri Iya demi capres nya rela sebar hoak melebihi kadrun,1,dauphne polri iya demi capres nya rela sebar hoak melebihi kadrun,0.0,0.0,0.0,Yes
@Bandit_cengeng @ajies4ra Kadrun+,1,cengeng kadrun,0.0,0.0,0.0,Yes
"@WongJowo67 @narkosun @ganjarpranowo Si anus cuma disambut bupatinya..Krn dari Nasdem dan dirumah pribadinyamm gak nyala masyarakat,Krn sdh merasa gakan ada masyarakat yg nyambut  ?????? https://t.co/0lBf22ZDc4",0,si anus cuma disambut bupatinya krn dari nasdem dan dirumah pribadinyamm gak nyala masyarakat krn sdh merasa gakan ada masyarakat yg nyambut,0.0,0.0,0.0,Yes
@wahyonoisnaeni1 @zhuLL_Thomadio @yaniarsim @PdiperjuanganP @KPK_RI @mohmahfudmd Biarin aja bro .. gue lebih suka kalo kadrun pd keliatan tambah bego,0,thomadio ri biarin aja bro gue lebih suka kalo kadrun pd keliatan tambah bego,0.0,0.0,0.0,Yes
"@KrisyantoOni Eh celeng kribo lu udah investigasi belum ke wadas??? Biasanya lu kan suka investigasi untuk buktikan sendiri, sekalian lu bs dapat makan dan kopi gratisan seperti kesukaanmu... Bangke!!!! https://t.co/3kl4LmwZJv",0,eh celeng kribo lu udah investigasi belum ke wadas biasanya lu kan suka investigasi untuk buktikan sendiri sekalian lu bs dapat makan dan kopi gratisan seperti kesukaanmu bangke,0.0,0.0,0.0,Yes
@_Dauph1ne_ @LemhannasRI @DivHumas_Polri @CCICPolri Kadrun +,1,dauphne polri kadrun,0.0,0.0,0.0,Yes
@gibran_tweet Untung bkn sy anak pak Jokowi mas wali..,0,tweet untung bkn sy anak pak jokowi mas wali,0.0,0.0,0.0,Yes
"@NasDem Dan gak perlu katakan ada tekanan politik didalamnya seperti yg ketua DPP kalian katakan.. obyektif dan jalani semua dgn ketentuan hukum yg sdh ada.. klo gak merasa terlibat,katakan maaf dan pecat sbg kader dan pengurus partai..beres",0,dan gak perlu katakan ada tekanan politik didalamnya seperti yg ketua dpp kalian katakan obyektif dan jalani semua dgn ketentuan hukum yg sdh ada klo gak merasa terlibat katakan maaf dan pecat sbg kader dan pengurus partai beres,0.0,0.0,0.0,Yes
"Preeeeettt mutualan ma akun tukang hoax gini..
Ga gini2 amat x jd buzzer..
Demi belain capres lo, sampe bikin hoax berjemaah.. dipercaya pula??
Kirain akun kadrun.. taunya..beuuuuh!!!
Gw unfol, tukang hoax!
@LemhannasRI 
@DivHumas_Polri 
@CCICPolri",11,preeeeettt mutualan ma akun tukang hoax gini ga gini amat x jd buzzer demi belain capres lo sampe bikin hoax berjemaah dipercaya pula kirain akun kadrun taunya beuuuuh gw unfol tukang hoax polri,0.178,0.0,-0.6486,Yes
"@TurnBack2Solo @Amran_bin_Ali @jagokan57083101 @KompasTV wkwkwk kadrun mana berani ketemu sendiri, nyalinya seupil kayak jumlah kadrun di Indonesia, ya kan @jagokan57083101 https://t.co/rslx5QZy39",1,bin ali wkwkwk kadrun mana berani ketemu sendiri nyalinya seupil kayak jumlah kadrun di indonesia ya kan,0.0,0.0,0.0,Yes
"@setopankahiji @logikapolitikid @ridwankamil @aniesbaswedan Namanya juga kadrun Goblokkkk!

Senyumin ajaa..",0,namanya juga kadrun goblokkkk senyumin ajaa,0.0,0.0,0.0,Yes
@bintangku206 @BWbambangPtk @ruhutsitompul Lha emang elo kadrun. Dari dulu topiknya selalu dibawah ini??oh ya gw mo nanya gmn rasanya jadi pecundang??? https://t.co/mKkfJivKzZ,0,lha emang elo kadrun dari dulu topiknya selalu dibawah ini oh ya gw mo nanya gmn rasanya jadi pecundang,0.0,0.0,0.0,Yes
